Année;code_STEP;Nom_STEP;Capacité_EH;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau_2010;Nom_Masse_Eau_2010;Code_Masse_Eau_2016;Nom_Masse_Eau_2016
2015;060930189002;Nimes - Ouest;230000;Biol. avec nitrif., dénitrif. et déphosphatation;807872;6300034;807896;6299908;1;30189;NIMES;30;76;;;;;
2015;060930190001;Notre Dame De La R. - Village;360;Infiltration;756178;6327860;756265;6327725;2;30190;NOTRE DAME DE LA ROUVIERE;30;76;;;;;
2015;060930192005;Orthoux - Rauret;610;Filtres plantés;784041;6309664;784030;6309576;3;30192;ORTHOUX SERIGNAC QUILHAN;30;76;;;;;
2015;060930193002;Parignargues;1000;Filtres plantés;797929;6309208;;;;30193;PARIGNARGUES;30;76;;;;;
2015;060930196002;Le Pin;400;Biologique Simple;823857;6333436;823888;6333458;2;30196;LE PIN;30;76;;;;;
2015;060930198003;Les Plantiers;500;Biologique avec nitrification;758316;6335938;758343;6335918;1;30198;LES PLANTIERS;30;76;;;;;
2015;060930200002;Pompignan                     ;1000;Biologique avec nitrification;769773;6311572;769801;6311553;2;30200;POMPIGNAN;30;76;;;;;
2015;060930202001;Pont Saint Esprit;9200;Biologique avec nitrification;832450;6351182;832533;6351193;1;30202;PONT ST ESPRIT;30;76;;;;;
2015;060930203001;Portes       Village          ;300;Biologique Simple;781437;6352895;781323;6352956;2;30203;PORTES;30;76;;;;;
2015;060930203002;Portes       L'Affenadou      ;350;Biologique Simple;784117;6350200;784117;6350201;2;30203;PORTES;30;76;;;;;
2015;060930204002;Potelieres;800;Filtres plantés;799175;6348245;799275;6348330;1;30204;POTELIERES;30;76;;;;;
2015;060930206002;Poulx;5000;Biologique avec nitrification et dénitrification;812938;6313720;812917;6313601;1;30206;POULX;30;76;;;;;
2015;060930207001;Pouzilhac                     ;500;Biologique avec nitrification;826307;6328289;826246;6328140;1;30207;POUZILHAC;30;76;;;;;
2015;060930209002;Pujaut;4000;Biologique avec nitrification;842357;6323528;842304;6323585;2;30209;PUJAUT;30;76;;;;;
2015;060930210002;Quissac                       ;3500;Biologique avec nitrification et dénitrification;780820;6311848;780737;6311847;1;30210;QUISSAC;30;76;;;;;
2015;060930211002;Redessan                      ;5000;Biologique avec nitrification;819530;6304578;819512;6304567;1;30211;REDESSAN;30;76;;;;;
2015;060930212002;Remoulins                     ;6000;Biologique avec nitrification et dénitrification;825430;6316228;825386;6316204;1;30212;REMOULINS;30;76;;;;;
2015;060930212002;Remoulins                     ;6000;Biologique avec nitrification et dénitrification;825430;6316228;825386;6316204;1;30212;REMOULINS;30;76;;;;;
2015;060930212002;Remoulins                     ;6000;Biologique avec nitrification et dénitrification;825430;6316228;825386;6316204;1;30212;REMOULINS;30;76;;;;;
2015;060930214003;Ribaute Les Tavernes          ;1500;Biologique avec nitrification;787369;6326779;787414;6326663;1;30214;RIBAUTE LES TAVERNES;30;76;;;;;
2015;060930217001;Rochefort-Du-Gard;7000;Biologique avec nitrification et dénitrification;837998;6321346;838102;6321266;1;30217;ROCHEFORT DU GARD;30;76;;;;;
2015;060930218001;Rochegude - Rivieres ;500;Filtres plantés;802910;6349218;802453;6349390;2;30218;ROCHEGUDE;30;76;;;;;
2015;060930218001;Rochegude - Rivieres ;500;Filtres plantés;802910;6349218;802453;6349390;2;30218;ROCHEGUDE;30;76;;;;;
2015;060930221002;Roquemaure;7500;Biologique avec nitrification;843198;6329352;843350;6329428;2;30221;ROQUEMAURE;30;76;;;;;
2015;060930221002;Roquemaure;7500;Biologique avec nitrification;843198;6329352;843350;6329428;2;30221;ROQUEMAURE;30;76;;;;;
2015;060930223002;Rousson - Le Saut Du Loup;3500;Biologique avec nitrification et dénitrification;792101;6342906;792167;6342864;1;30223;ROUSSON;30;76;;;;;
2015;060930223003;Rousson Pont D'Avene;700;Filtres plantés;791797;6345772;791855;6345588;1;30223;ROUSSON;30;76;;;;;
2015;060930224001;La Rouviere;800;Biologique avec nitrification;799708;6315306;799733;6315296;2;30224;LA ROUVIERE;30;76;;;;;
2015;060930225001;Sabran - Donnat;1000;Biologique avec nitrification;824135;6342906;824165;6342904;2;30225;SABRAN;30;76;;;;;
2015;060939356001;Montigny Sur Ain              ;4200;Biol. avec nitrif., dénitrif. et déphosphatation;911798;6626611;911583;6626731;1;39356;MONTIGNY SUR L AIN;39;27;;;;;
2015;060939356001;Montigny Sur Ain              ;4200;Biol. avec nitrif., dénitrif. et déphosphatation;911798;6626611;911583;6626731;1;39356;MONTIGNY SUR L AIN;39;27;;;;;
2015;060939356001;Montigny Sur Ain              ;4200;Biol. avec nitrif., dénitrif. et déphosphatation;911798;6626611;911583;6626731;1;39356;MONTIGNY SUR L AIN;39;27;;;;;
2015;060939362001;Lons Le Saunier;44000;Biol. avec nitrif., dénitrif. et déphosphatation;892021;6622702;892096;6622751;1;39362;MONTMOROT;39;27;;;;;
2015;060939362001;Lons Le Saunier;44000;Biol. avec nitrif., dénitrif. et déphosphatation;892021;6622702;892096;6622751;1;39362;MONTMOROT;39;27;;;;;
2015;060939362001;Lons Le Saunier;44000;Biol. avec nitrif., dénitrif. et déphosphatation;892021;6622702;892096;6622751;1;39362;MONTMOROT;39;27;;;;;
