identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006400550;SIBELCO FRANCE;2008;303000;0;870;0
0005600197;TANNERIES DU PUY SAS;2008;0;198000;24800;0
0005800496;EXXONMOBIL CHEMICAL FRANCE;2008;598000;0;20300;0
0005701253;SAINT-GOBAIN PAM;2008;0;5140000;12300;0
0005900641;PEUGEOT CITROEN  AUTOMOBILES SA;2008;0;0;314000;0
0005701241;HOMATHERM FRANCE;2008;319000;0;0;0
0006700652;TIMKEN EUROPE;2008;84500;0;12000;0
0005302589;ESSITY OPERATIONS LE THEIL;2008;530000;0;0;0
0007002879;LENGLET Raillencourt;2008;0;0;82400;0
0006700694;TANNERIES HAAS;2008;0;54500;4050;0
0007001033;PINGUIN (ex SICA DE LA VALLEE DE LA LYS);2008;0;0;270000;0
0005201261;ARIANEGROUP;2008;0;861000;66700;0
0005501107;CAPITAINE COOK;2008;63100;0;914;0
0006102650;COMURHEX PIERRELATTE;2008;22500;0;1360000;0
0005100917;SOLABIA;2008;50100;0;5540;0
0006700513;BUTACHIMIE;2008;25000000;13800000;0;0
0006103682;Ateliers A.S.;2008;148000;0;2310;0
0006105003;MAJ ELIS LOIRE;2008;93100;0;864;0
00       59578001;LIONOR SA;2008;0;0;65200;0
0006102002;SIDEFAGE;2008;0;25700000;5460;0
0006103782;TEINTURERIES DE TARARE;2008;0;205000;81000;0
0007000829;FRANCAISE DE MECANIQUE;2008;0;752000;58300;0
0007000683;ALVANCE ALUMINIUM DUNKERQUE SAS;2008;0;0;242000;0
0006503800;MAJ;2008;251000;0;4740;0
0005300003;SOCOPA VIANDES - SITE DE GACE;2008;0;0;88200;0
0005401490;AMORA MAILLE SI Usine de Dijon;2008;0;0;108000;0
00       74010061;entremont;2008;41200;0;49400;0
0005701280;ETILAM;2008;0;252000;4140;0
0006106678;CANDIA;2008;0;0;214000;0
0006200104;Brasserie Champigneulles;2008;0;0;727000;0
0005100850;ETEX France Building Performance;2008;0;0;226000;0
00       44180231;AUBRET;2008;0;0;179000;0
0006400384;CONTINENTALE NUTRITION - Site de Vedène;2008;5230;0;162000;0
0005401545;PORTERET BEAULIEU INDUSTRIE;2008;0;70000;0;0
0010001788;FAURECIA AUTOMOTIVE COMPOSITES;2008;0;0;53400;0
0006102995;Framatome Jarrie;2008;1750000;0;14500;0
0006501121;REP;2008;169000;0;4640;0
0005600136;QUALIPAC AURILLAC;2008;0;0;65200;0
0005600041;PEUGEOT CITROEN AUTOMOBILES S.A.;2008;246000;0;245000;0
0006802516;IMERYS;2008;0;2790000;0;0
0009000016;Ecole Polytechnique;2008;0;0;159000;0
